Symbol,Volume
FOSL,773300
FOSLL,8100
FOX,1130400
FOXA,3916700
FOXF,1121300
FOXX,35200
FPA,200
FPAY,78100
FPXE,1600
FPXI,6200
FRAF,4900
FRBA,25300
FRES,10200
FRGT,99700
FRHC,54400
FRME,177200
FROG,708800
FRPH,26100
FRPT,343700
FRSH,2964500
FRST,101500
FRSX,74700
FSBC,25200
FSBW,13400
FSCS,5400
FSEA,8000
FSFG,68600
FSHP,1100
FSLR,1790400
FSTR,42700
FSUN,103600
FSV,80700
FSZ,1000
FTA,45200
FTAG,1100
FTAI,755900
FTAIM,400
FTAIN,700
FTAIO,9000
FTC,117000
FTCI,1027900
FTCS,196300
FTDR,492100
FTDS,1000
FTEK,73300
FTEL,106400
FTFT,115800
FTGC,313900
FTGS,135700
FTHI,154900
FTHM,56600
FTII,21000
FTLF,18900
FTNT,4729200
FTQI,82500
FTRE,760600
FTRI,54500
FTSL,171500
FTSM,791200
FTXG,5500
FTXH,100
FTXL,27100
FTXN,42200
FTXO,29500
FTXR,1800
FUFU,133400
FUFUW,1700
FULC,848000
FULT,770200
FULTP,6700
FUNC,24800
FUND,38800
FUSB,4500
FUTU,1427200
FV,72900
FVC,3300
FVCB,18100
FVN,10400
FVNNU,101800
FWONA,82900
FWONK,842300
FWRD,595600
FWRG,675000
FXNC,23800
FYBR,1111500
FYC,36300
FYT,8500
FYX,29900
GABC,59200
GAIA,28200
GAIN,94000
GAINL,5300
GAINN,3700
GAINZ,2100
GALT,229700
GAMB,239500
GAME,62700
GAN,151300
GANX,76700
GASS,304700
GAUZ,25300
GBBKR,400
GBBKW,12100
GBDC,2136900
GBIO,77200
GCBC,24000
GCMG,802400
GCMGW,682300
GCT,763200
GCTK,268000
GDC,237600
GDEN,401500
GDEV,1900
GDEVW,25100
GDHG,45100
GDRX,1010600
GDS,1430700
GDTC,300
GDYN,698600
GECC,18300
GECCH,1400
GECCI,100
GECCZ,300
GEG,7400
GEGGL,400
GEHC,2040800
GELS,27900
GEN,2871100
GENK,48900
GEOS,72400
GERN,3781100
GEVO,3885400
GFAI,525800
GFAIW,6700
GFGF,700
GFS,2160000
GGAL,1012600
GGLL,523400
GGLS,22800
GGR,561000
GGROW,75500
GH,1912500
GHIX,185600
GHIXW,119000
GHRS,38600
GIFI,55500
GIFT,10800
GIG,344500
GIGGU,2000
GIGGW,51400
GIGM,3200
GIII,383800
GILD,4406400
GILT,194300
GINX,11800
GIPR,12900
GLAC,299900
GLAD,98700
GLADZ,6300
GLBE,1401000
GLBS,4700
GLBZ,2700
GLDD,640800
GLDI,1800
GLE,2097500
GLLIW,1500
GLMD,37000
GLNG,2326100
GLOW,24600
GLPG,142900
GLPI,1372200
GLRE,97500
GLSI,32000
GLSTU,400
GLTO,13200
GLUE,911100
GLXG,363700
GLYC,1208500
GMAB,1157900
GMGI,166000
GMM,266900
GNFT,22200
GNLN,47400
GNLX,100100
GNMA,22100
GNOM,95300
GNPX,1247700
GNSS,65700
GNTA,4200
GNTX,1371400
GO,1911000
GOCO,37100
GOEV,3907600
GOEVW,10900
GOGL,2052400
GOGO,573300
GOOD,255600
GOODN,400
GOODO,17100
GOOG,14937400
GOOGL,20486700
